school_osm_id,school_osm_type,school_name,place_osm_id,place_admin_level,place_place,place_name,lon,lat,bbox
-11586954,relation,Крулеўшчынская сярэдняя школа,-8016718,8,,Крулевщинский сельский Совет,27.78567589014823,55.02370668841956,"27.787023699999995,55.02480999942817,27.784715699999996,55.022705499427516"
-11586954,relation,Крулеўшчынская сярэдняя школа,-7483313,10,village,Крулевщина,27.78567589014823,55.02370668841956,"27.787023699999995,55.02480999942817,27.784715699999996,55.022705499427516"
-11586954,relation,Крулеўшчынская сярэдняя школа,-70716,6,,Докшицкий район,27.78567589014823,55.02370668841956,"27.787023699999995,55.02480999942817,27.784715699999996,55.022705499427516"
-11586954,relation,Крулеўшчынская сярэдняя школа,-59506,4,,Витебская область,27.78567589014823,55.02370668841956,"27.787023699999995,55.02480999942817,27.784715699999996,55.022705499427516"
-11586954,relation,Крулеўшчынская сярэдняя школа,-59065,2,,Беларусь,27.78567589014823,55.02370668841956,"27.787023699999995,55.02480999942817,27.784715699999996,55.022705499427516"
-11153083,relation,Школа № 4,-4684730,8,town,Шклов,30.285658874206216,54.217535648914,"30.2869651,54.218225799224506,30.284370000000003,54.21682039922424"
-11153083,relation,Школа № 4,-70626,6,,Шкловский район,30.285658874206216,54.217535648914,"30.2869651,54.218225799224506,30.284370000000003,54.21682039922424"
-11153083,relation,Школа № 4,-59162,4,,Могилёвская область,30.285658874206216,54.217535648914,"30.2869651,54.218225799224506,30.284370000000003,54.21682039922424"
-11153083,relation,Школа № 4,-59065,2,,Беларусь,30.285658874206216,54.217535648914,"30.2869651,54.218225799224506,30.284370000000003,54.21682039922424"
-11123161,relation,Кировская средняя школа,-7924018,8,,Летчанский сельский Совет,30.117528176420063,55.18921320841027,"30.1189703,55.19024269948087,30.1162022,55.18821379948022"
-11123161,relation,Кировская средняя школа,-7479926,10,village,Кировская,30.117528176420063,55.18921320841027,"30.1189703,55.19024269948087,30.1162022,55.18821379948022"
-11123161,relation,Кировская средняя школа,-59506,4,,Витебская область,30.117528176420063,55.18921320841027,"30.1189703,55.19024269948087,30.1162022,55.18821379948022"
-11123161,relation,Кировская средняя школа,-59504,6,,Витебский район,30.117528176420063,55.18921320841027,"30.1189703,55.19024269948087,30.1162022,55.18821379948022"
-11123161,relation,Кировская средняя школа,-59065,2,,Беларусь,30.117528176420063,55.18921320841027,"30.1189703,55.19024269948087,30.1162022,55.18821379948022"
-10101083,relation,Средняя школа №2,-6722368,8,town,Волковыск,24.476524176165118,53.159904727086456,"24.4753708,53.15936239909437,24.477816999999998,53.16040769909443,24.4778693,53.158395799094315,24.4796222,53.159647799094394"
-10101083,relation,Средняя школа №2,-6722368,8,town,Волковыск,24.478658968117685,53.15892011646665,"24.4753708,53.15936239909437,24.477816999999998,53.16040769909443,24.4778693,53.158395799094315,24.4796222,53.159647799094394"
-10101083,relation,Средняя школа №2,-70771,6,,Волковысский район,24.476524176165118,53.159904727086456,"24.4753708,53.15936239909437,24.477816999999998,53.16040769909443,24.4778693,53.158395799094315,24.4796222,53.159647799094394"
-10101083,relation,Средняя школа №2,-70771,6,,Волковысский район,24.478658968117685,53.15892011646665,"24.4753708,53.15936239909437,24.477816999999998,53.16040769909443,24.4778693,53.158395799094315,24.4796222,53.159647799094394"
-10101083,relation,Средняя школа №2,-59275,4,,Гродненская область,24.476524176165118,53.159904727086456,"24.4753708,53.15936239909437,24.477816999999998,53.16040769909443,24.4778693,53.158395799094315,24.4796222,53.159647799094394"
-10101083,relation,Средняя школа №2,-59275,4,,Гродненская область,24.478658968117685,53.15892011646665,"24.4753708,53.15936239909437,24.477816999999998,53.16040769909443,24.4778693,53.158395799094315,24.4796222,53.159647799094394"
-10101083,relation,Средняя школа №2,-59065,2,,Беларусь,24.476524176165118,53.159904727086456,"24.4753708,53.15936239909437,24.477816999999998,53.16040769909443,24.4778693,53.158395799094315,24.4796222,53.159647799094394"
-10101083,relation,Средняя школа №2,-59065,2,,Беларусь,24.478658968117685,53.15892011646665,"24.4753708,53.15936239909437,24.477816999999998,53.16040769909443,24.4778693,53.158395799094315,24.4796222,53.159647799094394"
-10081446,relation,Средняя школа №2,-6722642,8,town,Быхов,30.22626552917648,53.52874748849632,"30.224177299999997,53.527729199122234,30.227835700000004,53.52967009912241"
-10081446,relation,Средняя школа №2,-70586,6,,Быховский район,30.22626552917648,53.52874748849632,"30.224177299999997,53.527729199122234,30.227835700000004,53.52967009912241"
-10081446,relation,Средняя школа №2,-59162,4,,Могилёвская область,30.22626552917648,53.52874748849632,"30.224177299999997,53.527729199122234,30.227835700000004,53.52967009912241"
-10081446,relation,Средняя школа №2,-59065,2,,Беларусь,30.22626552917648,53.52874748849632,"30.224177299999997,53.527729199122234,30.227835700000004,53.52967009912241"
-9699497,relation,,-82606,9,,Ленинский район,30.31662305222464,53.92901428404279,"30.317043,53.92761809917337,30.3148871,53.928568199173526,30.318212,53.929816599173726,30.3183079,53.928472299173514"
-9699497,relation,,-82606,9,,Ленинский район,30.317500624134727,53.9280333188374,"30.317043,53.92761809917337,30.3148871,53.928568199173526,30.318212,53.929816599173726,30.3183079,53.928472299173514"
